用例ID,优先级,模块,HTTP,路径,鉴权,关键入参,预期HTTP,预期业务code说明,预期结果摘要,预置与步骤摘要
TC-TRD-012,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 文案含「requestSeqNo 长度不能超过 128」。,预置条件：无。操作步骤：requestSeqNo 长度超过 128。
TC-TRD-013,P0,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 第二次返回成功且 idempotent=true（或等价字段）。2) orderId、orderNo、dispatchNo 与首次一致。3) 库中仅一条 ORDER 类型 dispatch 对应 R。,预置条件：同一客户已成功下一笔 ORDER 且 dispatch.request_seq_no=R。操作步骤：使用相同 R 再次提交委托。
TC-TRD-014,P0,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) trd_order 为 INIT→受理后为 REPORTED；dispatch_status ACCEPTED。2) 存在 rpt_order_reply 且 reply_type=ORDER_ACCEPT。3) 接口返回 orderStatus=REPORTED。,预置条件：financial.mock-exchange.base-url 为空；DB 正常。操作步骤：首次下单成功路径。
TC-TRD-015,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) code=2001。2) message 含「客户未开户，禁止交易」。3) 无新委托。,预置条件：app_user 有效但无已开户客户关联。操作步骤：POST /api/app/trade/orders。
TC-TRD-016,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) message 含「登录态失效」（ensureActiveAppUser）。,预置条件：app_user.status≠ACTIVE 或伪造 userId。操作步骤：POST /api/app/trade/orders。
TC-TRD-017,P1,交易,POST,/api/operator/trade/orders,X-Operator-Token,"JSON: customerId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity,requestSeqNo",200,code=0 成功 / 1001 失败,1) 业务失败。2) message 为「缺少操作员令牌」「登录已失效，请重新登录」或「操作员不可用」之一（与 UnifiedBusinessQueryService 校验一致）。,预置条件：无 X-Operator-Token 或过期/停用操作员。操作步骤：POST /api/operator/trade/orders。
TC-TRD-018,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) message 含「参数错误」。,预置条件：无。操作步骤：price≤0、quantity≤0、空 requestSeqNo 或缺必填字段。
TC-TRD-019,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 不因涨跌停拒绝。2) 下单按 TC-TRD-014 或远程模式完成受理。,预置条件：md_market_quote 无该 security_id 记录。操作步骤：在其它校验通过下按合理价格下单。
TC-TRD-020,P1,交易,GET,/api/app/trade/orders,userId 查询参数,orderListCategory/page/pageSize 等,200 或业务失败,见断言,1) 业务失败。2) message 含「orderListCategory 仅支持 ONGOING、COMPLETED（或别名 FILLED）、CANCELED」。,预置条件：已开户；userId 有效。操作步骤：GET /api/app/trade/orders 传 orderListCategory=FOO。
TC-TRD-021,P1,交易,GET,/api/operator/trade/orders,X-Operator-Token,orderStatusGroup/page/pageSize,200 或业务失败,见断言,1) 业务失败。2) message 含「orderStatusGroup 仅支持 ACTIVE、COMPLETED 或 CANCELED」。,预置条件：有效 X-Operator-Token。操作步骤：GET /api/operator/trade/orders 传 orderStatusGroup=INVALID。
TC-TRD-022,P1,交易,GET,/api/operator/trade/orders,X-Operator-Token,orderStatusGroup/page/pageSize,200 或业务失败,见断言,1) 实际每页条数被限制在 1～100（与 TradeController 逻辑一致）。2) 不报错。,预置条件：有效身份。操作步骤：pageSize 传 500 或负数。
TC-TRD-023,P1,交易,GET,/api/app/trade/orders,userId 查询参数,orderListCategory/page/pageSize 等,200 或业务失败,见断言,1) code=2001。2) message「客户未开户」。,预置条件：用户有效但未开户。操作步骤：GET /api/app/trade/orders。
TC-TRD-024,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 业务失败。2) 与 TC-TRD-006 一致或等价拒绝。,预置条件：customerId 与 fund_account_no 不属于同一客户。操作步骤：operator 下单。
TC-TRD-025,P1,交易,POST,/api/app/trade/orders 或 /api/operator/trade/orders,App: JSON userId；Operator: X-Operator-Token,见模板用例预置与操作步骤,200,code=0 或 1001/2001；message 含预期关键字,1) 列表仅含对应来源委托。2) 字段 source_type 与下单通道一致。,预置条件：分别用 App 与 Operator 成功下单。操作步骤：运营报表 GET /api/operator/report/orders 带 sourceType=APP 与 OPERATOR 过滤。
TC-MEX-001,P0,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) mock-exchange 收到 POST /exchange/v1/order-accept。2) 返回 code=0。3) DB 受理完成。,预置条件：backend 配置 base-url 指向 mock-exchange；同库；可选 shared-secret 一致。操作步骤：正常下单。
TC-MEX-002,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) HTTP 401。2) 无效令牌提示。,预置条件：shared-secret 配置且请求未带或错误 X-Mock-Exchange-Token。操作步骤：直接调 mock-exchange。
TC-MEX-003,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) HTTP 400。2) 参数错误。,预置条件：mock-exchange 运行。操作步骤：body 缺 orderNo 或 id≤0。
TC-MEX-004,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) HTTP 400。2) 「委托单号与 id 不匹配」。,预置条件：order 存在。操作步骤：orderNo 与库不一致。
TC-MEX-005,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) 仍成功或 200。2) ORDER_ACCEPT 仅一条。,预置条件：已 ORDER_ACCEPT。操作步骤：重复 order-accept。
TC-MEX-006,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) 「模拟交易所不可用」。2) dispatch SENT、order INIT 可能残留（需记录运维补偿）。,预置条件：base-url 不可达。操作步骤：下单。
TC-MEX-007,P1,模拟交易所,POST,/exchange/v1/order-accept,可选 X-Mock-Exchange-Token,"JSON: dispatchId,orderId,orderNo",200/400/401,body.code=0 成功,1) HTTP 400。2) 「委托不存在」。,预置条件：dispatchId 任意合法长整型；orderId 在 trd_order 无记录。操作步骤：order-accept。
TC-CXL-001,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) 「无权撤销该委托」。,预置条件：App 客户 A；委托属 B。操作步骤：A 撤 B 的单。
TC-CXL-002,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) 「当前委托状态不允许撤单」。,预置条件：委托已终态。操作步骤：撤单。
TC-CXL-003,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) 返回幂等结构；库一致。,预置条件：已成功撤单 dispatch。操作步骤：相同 request_seq_no 再撤。
TC-CXL-004,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) 「委托单不存在」。,预置条件：无。操作步骤：随意 orderNo 撤单。
TC-CXL-005,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) 「该委托已有撤单申请处理中」。,预置条件：存在处理中撤单。操作步骤：再次撤单。
TC-CXL-006,P1,撤单,POST,/api/app/trade/orders/{orderNo}/cancel 或 /api/operator/trade/orders/{orderNo}/cancel,App: body userId；Operator: X-Operator-Token,"requestSeqNo,cancelReason",200,code=0 或 1001/2001,1) code=2001「客户未开户，禁止撤单」。,预置条件：用户有效未开户。操作步骤：POST cancel。
TC-SET-001,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「买入限价委托：成交价不能高于委托价」。,预置条件：限价买入已报。操作步骤：simulate-match 或 fill-reports 成交价高于委托价。
TC-SET-002,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「卖出限价委托：成交价不能低于委托价」。,预置条件：限价卖出已报。操作步骤：成交价低于委托价。
TC-SET-003,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「成交量超过剩余委托数量」。,预置条件：部成或剩余不足。操作步骤：fillQty 过大。
TC-SET-004,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「成交数量须满足最小交易单位」。,预置条件：已报。操作步骤：fillQty 非 lot 整数倍。
TC-SET-005,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「仅已报或部成委托可成交」。,预置条件：order_status=INIT 等。操作步骤：清算。
TC-SET-006,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「参数错误」。,预置条件：无。操作步骤：fillQty≤0 或 fillPrice≤0 或空 requestSeqNo。
TC-SET-007,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「成交单号长度不能超过32」。,预置条件：无。操作步骤：externalTradeNo 长度>32。
TC-SET-008,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「成交单号已用于其他委托，无法重复清算」。,预置条件：trade_no 已绑定订单 A。操作步骤：对订单 B 使用相同 externalTradeNo。
TC-SET-009,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) idempotent=true；数据与首次一致。,预置条件：已成功清算一笔。操作步骤：相同参数再调。
TC-SET-010,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 第二次返回幂等载荷。,预置条件：无 externalTradeNo 依赖 seq 的幂等路径。操作步骤：相同 requestSeqNo 重复 MATCH 回报。
TC-SET-011,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 「委托价格异常」。,预置条件：数据制造 order_price 为空或≤0（仅测试环境）。操作步骤：清算。
TC-SET-012,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 与实现文案一致拒绝。2) 无半笔成交脏数据。,预置条件：部成后 frozen_cash 与费用释放边界数据。操作步骤：继续成交至触发「委托冻结资金不足」「释放后可用资金不足以支付佣金与税费」等。
TC-SET-013,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 对应错误文案。2) 事务回滚。,预置条件：卖出委托。操作步骤：异常成交数量触发「委托冻结数量不足」「持仓冻结数量不足」等。
TC-SET-014,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) order_status=PART_FILLED（若实现如此）。2) avg_fill_price、filled_qty 更新正确。,预置条件：可成交委托。操作步骤：第一次部成再查询订单。
TC-SET-015,P1,清算成交,POST,/api/operator/trade/orders/{orderNo}/simulate-match 或 .../fill-reports,X-Operator-Token,"fillQty,fillPrice,requestSeqNo,externalTradeNo 可选",200,code=0 或 1001,1) 余额与流水一致。2) 佣金印花税与规则表一致（含默认回退）。,预置条件：买/卖各一笔全成。操作步骤：核对 acct_fund_account、acct_position、acct_asset_journal、trd_trade。
TC-PRC-001,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) code=1001「参数错误」。,预置条件：无。操作步骤：POST /api/app/trade/risk/precheck 缺字段。
TC-PRC-002,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) 「价格和数量必须大于0」。,预置条件：无。操作步骤：price 或 qty≤0。
TC-PRC-003,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) violations 含 AUTH_INVALID。,预置条件：userId 不存在或非 ACTIVE。操作步骤：precheck。
TC-PRC-004,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) violations 含 NOT_OPENED。,预置条件：用户有效未开户。操作步骤：precheck。
TC-PRC-005,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) 预检 LOT_SIZE_INVALID；下单同因拒绝。,预置条件：同证券。操作步骤：precheck 与下单各测一手错误数量。
TC-PRC-006,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) PRICE_UPPER_LIMIT / PRICE_LOWER_LIMIT。,预置条件：有行情。操作步骤：超涨停/跌停价。
TC-PRC-007,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) 与 AppApiController normalize 一致通过或 MARKET_INVALID。,预置条件：无。操作步骤：marketCode 传 1 或 0（若实现支持）。
TC-PRC-008,P1,预检,POST,/api/app/trade/risk/precheck,无,"JSON: userId,fundAccountNo,marketCode,securityCode,tradeDirection,price,quantity",200,code=0 且 violations；或 1001,1) DIRECTION_INVALID。,预置条件：无。操作步骤：非法 direction。
TC-APP-001,P1,App,POST,/api/app/auth/register,无,"username,password,mobile",200,code 见断言,1) code=1001。,预置条件：无。操作步骤：POST /api/app/auth/register 用户名为空。
TC-APP-002,P1,App,POST,/api/app/auth/register,无,"username,password,mobile",200,code 见断言,1) code=1002。,预置条件：已存在 username。操作步骤：同用户名注册。
TC-APP-003,P1,App,POST,/api/app/auth/register,无,"username,password,mobile",200,code 见断言,1) code=1003。,预置条件：已占用 mobile。操作步骤：带重复手机号注册。
TC-APP-004,P0,App,POST,/api/app/auth/login,无,"account,password",200,code 见断言,1) 返回 token、userId。2) app_login_session 有记录。,预置条件：ACTIVE 用户。操作步骤：POST /api/app/auth/login。
TC-APP-005,P1,App,POST,/api/app/auth/login,无,"account,password",200,code 见断言,1) code=1004「用户名或密码错误」。,预置条件：错误密码或停用用户。操作步骤：login。
TC-APP-006,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) 分别 2002/2003/2004。,预置条件：登录用户。操作步骤：手机号非 11 位、证件号格式错、市场非法。
TC-APP-007,P1,App,POST,/api/app/auth/login,无,"account,password",200,code 见断言,1) code=1005。,预置条件：userId 非 ACTIVE。操作步骤：open-account/apply。
TC-APP-008,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) code=2001「开户申请重复」。,预置条件：已有 WAIT_AUDIT/APPROVED 同证件。操作步骤：再次申请。
TC-APP-009,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) 返回最近一条状态。,预置条件：有多条申请。操作步骤：GET /api/app/open-account/applications/latest。
TC-APP-010,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) code=2001「申请不存在」。,预置条件：无。操作步骤：GET .../applications/{id}/result 非法 id。
TC-APP-011,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) code=2002「申请尚未审核通过」。,预置条件：WAIT_AUDIT。操作步骤：result 接口。
TC-APP-012,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) code=9999「开户结果缺失」。,预置条件：状态 OPENED 但 created_customer_id 空（脏数据）。操作步骤：result。
TC-APP-013,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) 返回空列表。,预置条件：未开户用户。操作步骤：GET /api/app/trade/fund-accounts。
TC-APP-014,P1,App,POST,/api/app/open-account/apply,无,OpenAccountApplyRequest 全文,200,code 见断言,1) 返回零资产结构。,预置条件：同上。操作步骤：GET /api/app/assets/overview。
TC-APP-015,P1,App,GET,/api/app/market/quotes 或 .../quotes/{m}/{code},无,"market,keyword,page",200,code=0 或 2001,1) 分页正确；pageSize≤100。,预置条件：行情数据充足。操作步骤：GET /api/app/market/quotes page/pageSize 边界。
TC-APP-016,P1,App,GET,/api/app/market/quotes 或 .../quotes/{m}/{code},无,"market,keyword,page",200,code=0 或 2001,1) code=2001「证券不存在」。,预置条件：无。操作步骤：GET /api/app/market/quotes/{m}/{code} 错误代码。
TC-OPS-001,P0,运营,POST,/api/operator/auth/login,无,账号密码 JSON,200,成功返回 token,1) 返回 token（与 OperatorController 约定一致）。,预置条件：有效操作员。操作步骤：POST /api/operator/auth/login。
TC-OPS-002,P1,运营,POST,/api/operator/auth/login,无,错误凭据,200,业务失败消息,1) 「账号或密码错误」。,预置条件：无。操作步骤：错误密码。
TC-OPS-003,P1,运营,POST,/api/operator/auth/login,无,错误凭据,200,业务失败消息,1) 「账号已停用」。,预置条件：停用账号。操作步骤：登录。
TC-OPS-004,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「仅已提交状态可接单」。,预置条件：申请非已提交。操作步骤：接单接口。
TC-OPS-005,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「该申请已导入或状态不可导入」。,预置条件：已导入。操作步骤：重复导入。
TC-OPS-006,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「仅审核中状态可通过/拒绝」。,预置条件：非审核中。操作步骤：通过/拒绝。
TC-OPS-007,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「证件已存在正式客户，禁止重复开户」。,预置条件：证件已有正式客户。操作步骤：审核通过。
TC-OPS-008,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「申请市场无效…」「沪市股东账号格式…」「深市股东账号格式…」。,预置条件：审核中数据。操作步骤：非法市场或股东号格式。
TC-OPS-009,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「账户类别不在有效字典…」「未配置账户类别模板…」。,预置条件：非法 acct_cls 或未配置模板。操作步骤：审核通过。
TC-OPS-010,P1,运营,POST/GET,/api/operator/* 开户审核等,X-Operator-Token,见 OperatorController,200,IllegalArgument 文案或 code,1) 「客户不存在」。,预置条件：无。操作步骤：查询不存在 customerId。
TC-RPT-001,P0,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) HTTP 200；结构符合约定。,预置条件：已登录。操作步骤：App/Operator 报表 GET。
TC-RPT-002,P1,报表,GET,/api/app/report/profile|asset-journal|trades|risk-events|notifications,无,userId 及分页日期参数,200,code=0 或 1001,1) 「登录态失效」等业务失败。,预置条件：无。操作步骤：GET /api/app/report/* 传无效 userId。
TC-RPT-003,P1,报表,GET,/api/app/report/profile|asset-journal|trades|risk-events|notifications,无,userId 及分页日期参数,200,code=0 或 1001,1) 过滤正确；空页合理。,预置条件：有流水。操作步骤：asset-journal、trades 带 from/to、page。
TC-RPT-004,P1,报表,GET,/api/app/report/profile|asset-journal|trades|risk-events|notifications,无,userId 及分页日期参数,200,code=0 或 1001,1) 实际条数≤100（与 cap 逻辑一致）。,预置条件：无。操作步骤：GET notifications limit=200。
TC-RPT-005,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 返回列表；无越权 SQL。,预置条件：有效 token。操作步骤：GET /api/operator/report/customers keyword/idNo。
TC-RPT-006,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 结果符合筛选。,预置条件：有订单数据。操作步骤：orders 组合 customerCode、orderNo、日期、orderStatusGroup。
TC-RPT-007,P1,报表,GET,/api/operator/report/*,X-Operator-Token,各接口查询参数见 OperatorReportController,200,code=0 或 1001,1) 分页与条件正确。,预置条件：有成交。操作步骤：GET .../report/trades。
