测试功能点,子功能检查点,测试步骤,预期结果,执行状态,实际结果,作者或修改者,最后执行者,最后执行日期
TC-TRD-011,买卖方向参数校验,"预置条件：
1. 无。

操作步骤：
1. direction 非 BUY/SELL/B/S 可识别值。","1. 业务失败。
2. 文案含「买卖方向仅支持BUY/SELL或B/S」。",,,测试设计,,
TC-TRD-012,requestSeqNo 超长,"预置条件：
1. 无。

操作步骤：
1. requestSeqNo 长度超过 128。","1. 业务失败。
2. 文案含「requestSeqNo 长度不能超过 128」。",,,测试设计,,
TC-TRD-013,委托幂等（同一 requestSeqNo）,"预置条件：
1. 同一客户已成功下一笔 ORDER 且 dispatch.request_seq_no=R。

操作步骤：
1. 使用相同 R 再次提交委托。","1. 第二次返回成功且 idempotent=true（或等价字段）。
2. orderId、orderNo、dispatchNo 与首次一致。
3. 库中仅一条 ORDER 类型 dispatch 对应 R。",,,测试设计,,
TC-TRD-014,本进程内报盘受理（未配置远程模拟所）,"预置条件：
1. financial.mock-exchange.base-url 为空；DB 正常。

操作步骤：
1. 首次下单成功路径。","1. trd_order 为 INIT→受理后为 REPORTED；dispatch_status ACCEPTED。
2. 存在 rpt_order_reply 且 reply_type=ORDER_ACCEPT。
3. 接口返回 orderStatus=REPORTED。",,,测试设计,,
TC-TRD-015,App 下单客户未开户,"预置条件：
1. app_user 有效但无已开户客户关联。

操作步骤：
1. POST /api/app/trade/orders。","1. code=2001。
2. message 含「客户未开户，禁止交易」。
3. 无新委托。",,,测试设计,,
TC-TRD-016,App 下单用户非 ACTIVE 或 userId 无效,"预置条件：
1. app_user.status≠ACTIVE 或伪造 userId。

操作步骤：
1. POST /api/app/trade/orders。","1. 业务失败。
2. message 含「登录态失效」（ensureActiveAppUser）。",,,测试设计,,
TC-TRD-017,运营代客下单令牌缺失或失效,"预置条件：
1. 无 X-Operator-Token 或过期/停用操作员。

操作步骤：
1. POST /api/operator/trade/orders。","1. 业务失败。
2. message 为「缺少操作员令牌」「登录已失效，请重新登录」或「操作员不可用」之一（与 UnifiedBusinessQueryService 校验一致）。",,,测试设计,,
TC-TRD-018,下单基础参数错误,"预置条件：
1. 无。

操作步骤：
1. price≤0、quantity≤0、空 requestSeqNo 或缺必填字段。","1. 业务失败。
2. message 含「参数错误」。",,,测试设计,,
TC-TRD-019,无涨跌停行情时价格校验,"预置条件：
1. md_market_quote 无该 security_id 记录。

操作步骤：
1. 在其它校验通过下按合理价格下单。","1. 不因涨跌停拒绝。
2. 下单按 TC-TRD-014 或远程模式完成受理。",,,测试设计,,
TC-TRD-020,App 委托列表 orderListCategory 非法,"预置条件：
1. 已开户；userId 有效。

操作步骤：
1. GET /api/app/trade/orders 传 orderListCategory=FOO。","1. 业务失败。
2. message 含「orderListCategory 仅支持 ONGOING、COMPLETED（或别名 FILLED）、CANCELED」。",,,测试设计,,
TC-TRD-021,运营委托列表 orderStatusGroup 非法,"预置条件：
1. 有效 X-Operator-Token。

操作步骤：
1. GET /api/operator/trade/orders 传 orderStatusGroup=INVALID。","1. 业务失败。
2. message 含「orderStatusGroup 仅支持 ACTIVE、COMPLETED 或 CANCELED」。",,,测试设计,,
TC-TRD-022,委托列表分页上界,"预置条件：
1. 有效身份。

操作步骤：
1. pageSize 传 500 或负数。","1. 实际每页条数被限制在 1～100（与 TradeController 逻辑一致）。
2. 不报错。",,,测试设计,,
TC-TRD-023,App 委托列表未开户,"预置条件：
1. 用户有效但未开户。

操作步骤：
1. GET /api/app/trade/orders。","1. code=2001。
2. message「客户未开户」。",,,测试设计,,
TC-TRD-024,运营代客下单客户与资金户不一致,"预置条件：
1. customerId 与 fund_account_no 不属于同一客户。

操作步骤：
1. operator 下单。","1. 业务失败。
2. 与 TC-TRD-006 一致或等价拒绝。",,,测试设计,,
TC-TRD-025,sourceType 区分 APP/OPERATOR,"预置条件：
1. 分别用 App 与 Operator 成功下单。

操作步骤：
1. 运营报表 GET /api/operator/report/orders 带 sourceType=APP 与 OPERATOR 过滤。","1. 列表仅含对应来源委托。
2. 字段 source_type 与下单通道一致。",,,测试设计,,
TC-MEX-001,远程模拟交易所报盘受理成功,"预置条件：
1. backend 配置 base-url 指向 mock-exchange；同库；可选 shared-secret 一致。

操作步骤：
1. 正常下单。","1. mock-exchange 收到 POST /exchange/v1/order-accept。
2. 返回 code=0。
3. DB 受理完成。",,,测试设计,,
TC-MEX-002,模拟所令牌校验失败,"预置条件：
1. shared-secret 配置且请求未带或错误 X-Mock-Exchange-Token。

操作步骤：
1. 直接调 mock-exchange。","1. HTTP 401。
2. 无效令牌提示。",,,测试设计,,
TC-MEX-003,模拟所参数错误,"预置条件：
1. mock-exchange 运行。

操作步骤：
1. body 缺 orderNo 或 id≤0。","1. HTTP 400。
2. 参数错误。",,,测试设计,,
TC-MEX-004,模拟所委托号与 id 不一致,"预置条件：
1. order 存在。

操作步骤：
1. orderNo 与库不一致。","1. HTTP 400。
2. 「委托单号与 id 不匹配」。",,,测试设计,,
TC-MEX-005,模拟所重复受理幂等,"预置条件：
1. 已 ORDER_ACCEPT。

操作步骤：
1. 重复 order-accept。","1. 仍成功或 200。
2. ORDER_ACCEPT 仅一条。",,,测试设计,,
TC-MEX-006,模拟所不可用（backend）,"预置条件：
1. base-url 不可达。

操作步骤：
1. 下单。","1. 「模拟交易所不可用」。
2. dispatch SENT、order INIT 可能残留（需记录运维补偿）。",,,测试设计,,
TC-MEX-007,模拟所 orderId 不存在,"预置条件：
1. dispatchId 任意合法长整型；orderId 在 trd_order 无记录。

操作步骤：
1. order-accept。","1. HTTP 400。
2. 「委托不存在」。",,,测试设计,,
TC-CXL-001,撤单跨客户权限,"预置条件：
1. App 客户 A；委托属 B。

操作步骤：
1. A 撤 B 的单。",1. 「无权撤销该委托」。,,,测试设计,,
TC-CXL-002,撤单状态不允许,"预置条件：
1. 委托已终态。

操作步骤：
1. 撤单。",1. 「当前委托状态不允许撤单」。,,,测试设计,,
TC-CXL-003,撤单幂等（同一 cancel request_seq_no）,"预置条件：
1. 已成功撤单 dispatch。

操作步骤：
1. 相同 request_seq_no 再撤。",1. 返回幂等结构；库一致。,,,测试设计,,
TC-CXL-004,撤单单号不存在,"预置条件：
1. 无。

操作步骤：
1. 随意 orderNo 撤单。",1. 「委托单不存在」。,,,测试设计,,
TC-CXL-005,撤单已有处理中申请,"预置条件：
1. 存在处理中撤单。

操作步骤：
1. 再次撤单。",1. 「该委托已有撤单申请处理中」。,,,测试设计,,
TC-CXL-006,App 撤单未开户,"预置条件：
1. 用户有效未开户。

操作步骤：
1. POST cancel。",1. code=2001「客户未开户，禁止撤单」。,,,测试设计,,
TC-SET-001,买入成交价不得高于委托价,"预置条件：
1. 限价买入已报。

操作步骤：
1. simulate-match 或 fill-reports 成交价高于委托价。",1. 「买入限价委托：成交价不能高于委托价」。,,,测试设计,,
TC-SET-002,卖出成交价不得低于委托价,"预置条件：
1. 限价卖出已报。

操作步骤：
1. 成交价低于委托价。",1. 「卖出限价委托：成交价不能低于委托价」。,,,测试设计,,
TC-SET-003,成交量超过剩余数量,"预置条件：
1. 部成或剩余不足。

操作步骤：
1. fillQty 过大。",1. 「成交量超过剩余委托数量」。,,,测试设计,,
TC-SET-004,成交数量须满足最小交易单位,"预置条件：
1. 已报。

操作步骤：
1. fillQty 非 lot 整数倍。",1. 「成交数量须满足最小交易单位」。,,,测试设计,,
TC-SET-005,仅已报或部成可成交,"预置条件：
1. order_status=INIT 等。

操作步骤：
1. 清算。",1. 「仅已报或部成委托可成交」。,,,测试设计,,
TC-SET-006,清算参数错误,"预置条件：
1. 无。

操作步骤：
1. fillQty≤0 或 fillPrice≤0 或空 requestSeqNo。",1. 「参数错误」。,,,测试设计,,
TC-SET-007,成交单号长度,"预置条件：
1. 无。

操作步骤：
1. externalTradeNo 长度>32。",1. 「成交单号长度不能超过32」。,,,测试设计,,
TC-SET-008,成交单号跨委托冲突,"预置条件：
1. trade_no 已绑定订单 A。

操作步骤：
1. 对订单 B 使用相同 externalTradeNo。",1. 「成交单号已用于其他委托，无法重复清算」。,,,测试设计,,
TC-SET-009,清算幂等（同一 externalTradeNo 同单）,"预置条件：
1. 已成功清算一笔。

操作步骤：
1. 相同参数再调。",1. idempotent=true；数据与首次一致。,,,测试设计,,
TC-SET-010,清算幂等（MATCH dispatch request_seq_no）,"预置条件：
1. 无 externalTradeNo 依赖 seq 的幂等路径。

操作步骤：
1. 相同 requestSeqNo 重复 MATCH 回报。",1. 第二次返回幂等载荷。,,,测试设计,,
TC-SET-011,委托价格异常（库中 order_price 非法）,"预置条件：
1. 数据制造 order_price 为空或≤0（仅测试环境）。

操作步骤：
1. 清算。",1. 「委托价格异常」。,,,测试设计,,
TC-SET-012,买入成交冻结资金不足等分支,"预置条件：
1. 部成后 frozen_cash 与费用释放边界数据。

操作步骤：
1. 继续成交至触发「委托冻结资金不足」「释放后可用资金不足以支付佣金与税费」等。","1. 与实现文案一致拒绝。
2. 无半笔成交脏数据。",,,测试设计,,
TC-SET-013,卖出成交持仓冻结不足,"预置条件：
1. 卖出委托。

操作步骤：
1. 异常成交数量触发「委托冻结数量不足」「持仓冻结数量不足」等。","1. 对应错误文案。
2. 事务回滚。",,,测试设计,,
TC-SET-014,部成后委托状态与均价,"预置条件：
1. 可成交委托。

操作步骤：
1. 第一次部成再查询订单。","1. order_status=PART_FILLED（若实现如此）。
2. avg_fill_price、filled_qty 更新正确。",,,测试设计,,
TC-SET-015,全成后资金与持仓一致性,"预置条件：
1. 买/卖各一笔全成。

操作步骤：
1. 核对 acct_fund_account、acct_position、acct_asset_journal、trd_trade。","1. 余额与流水一致。
2. 佣金印花税与规则表一致（含默认回退）。",,,测试设计,,
TC-PRC-001,交易风控预检参数错误,"预置条件：
1. 无。

操作步骤：
1. POST /api/app/trade/risk/precheck 缺字段。",1. code=1001「参数错误」。,,,测试设计,,
TC-PRC-002,预检价格数量必须大于0,"预置条件：
1. 无。

操作步骤：
1. price 或 qty≤0。",1. 「价格和数量必须大于0」。,,,测试设计,,
TC-PRC-003,预检用户未登录,"预置条件：
1. userId 不存在或非 ACTIVE。

操作步骤：
1. precheck。",1. violations 含 AUTH_INVALID。,,,测试设计,,
TC-PRC-004,预检未开户,"预置条件：
1. 用户有效未开户。

操作步骤：
1. precheck。",1. violations 含 NOT_OPENED。,,,测试设计,,
TC-PRC-005,预检与正式下单校验对齐（手数）,"预置条件：
1. 同证券。

操作步骤：
1. precheck 与下单各测一手错误数量。",1. 预检 LOT_SIZE_INVALID；下单同因拒绝。,,,测试设计,,
TC-PRC-006,预检涨跌停,"预置条件：
1. 有行情。

操作步骤：
1. 超涨停/跌停价。",1. PRICE_UPPER_LIMIT / PRICE_LOWER_LIMIT。,,,测试设计,,
TC-PRC-007,预检市场 1/0 与 SH/SZ,"预置条件：
1. 无。

操作步骤：
1. marketCode 传 1 或 0（若实现支持）。",1. 与 AppApiController normalize 一致通过或 MARKET_INVALID。,,,测试设计,,
TC-PRC-008,预检买卖方向扩展,"预置条件：
1. 无。

操作步骤：
1. 非法 direction。",1. DIRECTION_INVALID。,,,测试设计,,
TC-APP-001,注册参数错误,"预置条件：
1. 无。

操作步骤：
1. POST /api/app/auth/register 用户名为空。",1. code=1001。,,,测试设计,,
TC-APP-002,注册用户名已存在,"预置条件：
1. 已存在 username。

操作步骤：
1. 同用户名注册。",1. code=1002。,,,测试设计,,
TC-APP-003,注册手机号已存在,"预置条件：
1. 已占用 mobile。

操作步骤：
1. 带重复手机号注册。",1. code=1003。,,,测试设计,,
TC-APP-004,登录成功与会话,"预置条件：
1. ACTIVE 用户。

操作步骤：
1. POST /api/app/auth/login。","1. 返回 token、userId。
2. app_login_session 有记录。",,,测试设计,,
TC-APP-005,登录失败（密码错误/禁用）,"预置条件：
1. 错误密码或停用用户。

操作步骤：
1. login。",1. code=1004「用户名或密码错误」。,,,测试设计,,
TC-APP-006,开户申请参数与格式,"预置条件：
1. 登录用户。

操作步骤：
1. 手机号非 11 位、证件号格式错、市场非法。",1. 分别 2002/2003/2004。,,,测试设计,,
TC-APP-007,开户申请登录态失效,"预置条件：
1. userId 非 ACTIVE。

操作步骤：
1. open-account/apply。",1. code=1005。,,,测试设计,,
TC-APP-008,开户申请重复证件,"预置条件：
1. 已有 WAIT_AUDIT/APPROVED 同证件。

操作步骤：
1. 再次申请。",1. code=2001「开户申请重复」。,,,测试设计,,
TC-APP-009,最新开户申请查询,"预置条件：
1. 有多条申请。

操作步骤：
1. GET /api/app/open-account/applications/latest。",1. 返回最近一条状态。,,,测试设计,,
TC-APP-010,开户结果查询不存在,"预置条件：
1. 无。

操作步骤：
1. GET .../applications/{id}/result 非法 id。",1. code=2001「申请不存在」。,,,测试设计,,
TC-APP-011,开户结果未审核通过,"预置条件：
1. WAIT_AUDIT。

操作步骤：
1. result 接口。",1. code=2002「申请尚未审核通过」。,,,测试设计,,
TC-APP-012,开户结果数据缺失,"预置条件：
1. 状态 OPENED 但 created_customer_id 空（脏数据）。

操作步骤：
1. result。",1. code=9999「开户结果缺失」。,,,测试设计,,
TC-APP-013,资金户列表未开户,"预置条件：
1. 未开户用户。

操作步骤：
1. GET /api/app/trade/fund-accounts。",1. 返回空列表。,,,测试设计,,
TC-APP-014,资产总览未开户,"预置条件：
1. 同上。

操作步骤：
1. GET /api/app/assets/overview。",1. 返回零资产结构。,,,测试设计,,
TC-APP-015,行情列表分页,"预置条件：
1. 行情数据充足。

操作步骤：
1. GET /api/app/market/quotes page/pageSize 边界。",1. 分页正确；pageSize≤100。,,,测试设计,,
TC-APP-016,行情详情不存在,"预置条件：
1. 无。

操作步骤：
1. GET /api/app/market/quotes/{m}/{code} 错误代码。",1. code=2001「证券不存在」。,,,测试设计,,
TC-OPS-001,运营登录成功,"预置条件：
1. 有效操作员。

操作步骤：
1. POST /api/operator/auth/login。",1. 返回 token（与 OperatorController 约定一致）。,,,测试设计,,
TC-OPS-002,运营登录账号密码错误,"预置条件：
1. 无。

操作步骤：
1. 错误密码。",1. 「账号或密码错误」。,,,测试设计,,
TC-OPS-003,运营账号停用,"预置条件：
1. 停用账号。

操作步骤：
1. 登录。",1. 「账号已停用」。,,,测试设计,,
TC-OPS-004,开户接单状态校验,"预置条件：
1. 申请非已提交。

操作步骤：
1. 接单接口。",1. 「仅已提交状态可接单」。,,,测试设计,,
TC-OPS-005,导入记录状态校验,"预置条件：
1. 已导入。

操作步骤：
1. 重复导入。",1. 「该申请已导入或状态不可导入」。,,,测试设计,,
TC-OPS-006,审核通过与拒绝状态,"预置条件：
1. 非审核中。

操作步骤：
1. 通过/拒绝。",1. 「仅审核中状态可通过/拒绝」。,,,测试设计,,
TC-OPS-007,审核通过证件重复,"预置条件：
1. 证件已有正式客户。

操作步骤：
1. 审核通过。",1. 「证件已存在正式客户，禁止重复开户」。,,,测试设计,,
TC-OPS-008,审核通过市场与股东号格式,"预置条件：
1. 审核中数据。

操作步骤：
1. 非法市场或股东号格式。",1. 「申请市场无效…」「沪市股东账号格式…」「深市股东账号格式…」。,,,测试设计,,
TC-OPS-009,账户类别字典与模板,"预置条件：
1. 非法 acct_cls 或未配置模板。

操作步骤：
1. 审核通过。",1. 「账户类别不在有效字典…」「未配置账户类别模板…」。,,,测试设计,,
TC-OPS-010,客户不存在查询,"预置条件：
1. 无。

操作步骤：
1. 查询不存在 customerId。",1. 「客户不存在」。,,,测试设计,,
TC-RPT-001,报表接口 smoke,"预置条件：
1. 已登录。

操作步骤：
1. App/Operator 报表 GET。",1. HTTP 200；结构符合约定。,,,测试设计,,
TC-RPT-002,App 报表 userId 无效,"预置条件：
1. 无。

操作步骤：
1. GET /api/app/report/* 传无效 userId。",1. 「登录态失效」等业务失败。,,,测试设计,,
TC-RPT-003,App 报表分页与日期区间,"预置条件：
1. 有流水。

操作步骤：
1. asset-journal、trades 带 from/to、page。",1. 过滤正确；空页合理。,,,测试设计,,
TC-RPT-004,App 通知条数上限,"预置条件：
1. 无。

操作步骤：
1. GET notifications limit=200。",1. 实际条数≤100（与 cap 逻辑一致）。,,,测试设计,,
TC-RPT-005,运营客户搜索,"预置条件：
1. 有效 token。

操作步骤：
1. GET /api/operator/report/customers keyword/idNo。",1. 返回列表；无越权 SQL。,,,测试设计,,
TC-RPT-006,运营委托报表多条件,"预置条件：
1. 有订单数据。

操作步骤：
1. orders 组合 customerCode、orderNo、日期、orderStatusGroup。",1. 结果符合筛选。,,,测试设计,,
TC-RPT-007,运营成交报表,"预置条件：
1. 有成交。

操作步骤：
1. GET .../report/trades。",1. 分页与条件正确。,,,测试设计,,
TC-RPT-008,运营资产流水缺定位条件,"预置条件：
1. 无。

操作步骤：
1. asset-journal 不传 customerCode/idNo/fund/order/trade。",1. 「资产流水查询请至少提供…之一」。,,,测试设计,,
TC-RPT-009,运营费用明细缺定位条件,"预置条件：
1. 无。

操作步骤：
1. fee-details 无任一关键参数。",1. 「费用明细查询请至少提供…之一」。,,,测试设计,,
TC-RPT-010,运营 dispatch 轨迹,"预置条件：
1. 有 orderNo。

操作步骤：
1. GET .../report/dispatches?orderNo=。",1. 返回报撤单 dispatch 列表。,,,测试设计,,
TC-RPT-011,运营撤单申请列表,"预置条件：
1. 有撤单数据。

操作步骤：
1. GET .../report/cancel-requests。",1. 列表与订单筛选一致。,,,测试设计,,
TC-RPT-012,运营操作日志,"预置条件：
1. 有日志。

操作步骤：
1. GET .../report/operation-logs。",1. 分页与 module/biz 过滤正确。,,,测试设计,,
TC-RPT-013,运营风险事件,"预置条件：
1. 有数据。

操作步骤：
1. GET .../report/risk-events。",1. 结果符合筛选。,,,测试设计,,
TC-RPT-014,多条件指向不一致客户,"预置条件：
1. 构造互斥证件与客户号（若可造）。

操作步骤：
1. 组合查询。",1. 「查询条件指向不一致的客户实体」。,,,测试设计,,
TC-META-001,字典 dictCode 为空,"预置条件：
1. 有效 X-Operator-Token。

操作步骤：
1. GET /api/operator/meta/dict-items 不传 dictCode 或空串。",1. 「dictCode 不能为空」。,,,测试设计,,
TC-META-002,字典查询 token 过期,"预置条件：
1. 过期或伪造 token。

操作步骤：
1. GET /api/operator/meta/dict-items?dictCode=XXX。",1. 「登录已过期，请重新登录」。,,,测试设计,,
TC-META-003,字典查询成功与缓存,"预置条件：
1. 有效 token；md_dict 有数据。

操作步骤：
1. GET dict-items 两次。","1. 返回 items。
2. 第二次可走 Redis 缓存（观察日志或耗时）。",,,测试设计,,
TC-SEC-001,下单限流（Redis 可用）,"预置条件：
1. Redis 可用；financial.ratelimit.orders-per-minute-per-ip 调小如 5。

操作步骤：
1. 同一 IP 快速 POST /api/app/trade/orders 超过阈值。","1. HTTP 429。
2. body 含「请求过于频繁」。",,,测试设计,,
TC-SEC-002,下单限流 Redis 不可用,"预置条件：
1. 断开 Redis 或连接失败。

操作步骤：
1. 超限 POST。","1. 日志告警 fail-open。
2. 请求不被 429 拦截。",,,测试设计,,
TC-SEC-003,限流仅作用于下单 POST,"预置条件：
1. Redis 正常。

操作步骤：
1. GET 行情或其它 POST 路径。",1. 非 /api/app/trade/orders 与 /api/operator/trade/orders 不计入该计数器。,,,测试设计,,
TC-DATA-001,费用规则表缺省回退,"预置条件：
1. md_commission_rule 无匹配行。

操作步骤：
1. 下单买与卖成交。",1. 使用 TradingFeeRuleService 默认费率；成交仍成功。,,,测试设计,,
TC-DATA-002,幂等与并发（requestSeqNo）,"预置条件：
1. 双线程同 seq。

操作步骤：
1. 并发提交。",1. 仅一笔成功；另一幂等或 DB 约束报错（记录实际表现）。,,,测试设计,,
TC-DATA-003,时区与日期边界,"预置条件：
1. 服务器时区已知。

操作步骤：
1. 跨日下单 order_no/dispatch_no 日期前缀。",1. 与服务器 LocalDate 一致。,,,测试设计,,
TC-E2E-001,端到端：注册→开户→审核→App 下单→撤单,"预置条件：
1. 全套环境。

操作步骤：
1. 按业务流程走通。","1. 每步状态正确。
2. 最终数据一致。",,,测试设计,,
TC-E2E-002,端到端：远程 mock-exchange 全链路,"预置条件：
1. 双进程同库。

操作步骤：
1. 下单至 REPORTED 再撤单/成交。","1. reply 来源可区分。
2. 无孤儿 SENT。",,,测试设计,,
TC-E2E-003,端到端：运营手工成交回报,"预置条件：
1. 已报委托。

操作步骤：
1. fill-reports 录入。",1. trd_trade 生成；委托累计正确。,,,测试设计,,
TC-E2E-004,网关与真实 IP 头,"预置条件：
1. 经 Gateway 转发 X-Forwarded-For。

操作步骤：
1. 限流与审计日志若依赖 IP。",1. 取客户端 IP 正确。,,,测试设计,,
TC-NF-001,接口响应时间与错误率（基线）,"预置条件：
1. 压测工具。

操作步骤：
1. 对核心 GET 做轻量压测。",1. 记录 P95 与错误率基线。,,,测试设计,,
TC-NF-002,数据库连接池耗尽表现,"预置条件：
1. 测试环境可调低 max pool。

操作步骤：
1. 高并发下单。",1. 明确超时或降级表现；无静默丢单。,,,测试设计,,
TC-NF-003,前后端联调 CORS 与鉴权头,"预置条件：
1. 浏览器或 App。

操作步骤：
1. 跨域与自定义头。",1. 与 CorsConfig 一致。,,,测试设计,,
TC-METH-001,【方法论】用户端真实发起→柜台核处置→后台自动清算,"预置条件：
1. 联调/验收环境齐全。

操作步骤：
1. 按「Android 真实请求 → 运营审核/代操/成交录入 → 系统自动清算与记账」顺序执行后续用例。","1. 每阶段数据在库中可追溯（申请、委托、dispatch、reply、成交、流水）。
2. 不跳步导致状态不一致。",,,测试设计,,
TC-OPEN-001,【开户】单笔申请资料完整→审核通过,"预置条件：
1. App 用户已注册；证件未占用。

操作步骤：
1. 提交开户申请→运营接单→审核通过（合法股东号与市场）。","1. cust_customer、acct_fund_account、acct_shareholder_account 生成且归属正确。
2. cust_open_apply / cust_import_record / 审核日志可追溯。
3. 若有模板持仓则 acct_position 与初始化流水符合模板。",,,测试设计,,
TC-OPEN-002,【开户】证件唯一性（重复证件拦截）,"预置条件：
1. 已存在 WAIT_AUDIT 或 APPROVED 同证件申请。

操作步骤：
1. 再次提交同证件开户申请。","1. 返回开户申请重复（与 TC-APP-008 一致）。
2. 不产生重复客户主档。",,,测试设计,,
TC-OPEN-003,【开户】审核拒绝路径,"预置条件：
1. 审核中申请。

操作步骤：
1. 运营拒绝并填写原因。","1. 申请状态为拒绝终态。
2. 未生成正式客户或回滚未提交数据（与实现一致）。
3. 审计/操作日志可查询。",,,测试设计,,
TC-OPEN-004,【开户】沪市/深市股东号格式与市场对齐,"预置条件：
1. 审核中。

操作步骤：
1. 故意录入非法股东号或非法市场后尝试通过。","1. 与 OperatorController 校验文案一致拒绝。
2. 不产生错误股东账户。",,,测试设计,,
TC-OPEN-005,【开户】初始资金与资产流水,"预置条件：
1. 审核通过已生成客户。

操作步骤：
1. 查询 INIT_CASH 流水与资金户余额、资产总览接口。","1. acct_asset_journal 存在 INIT_CASH（或约定类型）。
2. App /api/app/assets/overview 与资金户可用+冻结口径一致。",,,测试设计,,
TC-OPEN-006,【开户】批量导入（若启用柜台导入接口）,"预置条件：
1. 存在批量导入入口与样例文件。

操作步骤：
1. 导入多条申请并核对幂等与错误行回写。","1. 成功行生成申请或客户；失败行有明确错误码/原因。
2. 证件重复行被拦截。",,,测试设计,,
TC-TFLOW-001,【交易】App 端真实下单与冻结资金,"预置条件：
1. 已开户；买入；资金充足。

操作步骤：
1. Android/App 通道 POST /api/app/trade/orders。","1. trd_order、rpt_order_dispatch、（本地或远程）rpt_order_reply 完整。
2. acct_fund_account 可用减少、冻结增加，与委托 frozen_cash 及资产流水一致。",,,测试设计,,
TC-TFLOW-002,【交易】柜台代客下单与来源标识,"预置条件：
1. 运营 token 有效；客户与资金户匹配。

操作步骤：
1. POST /api/operator/trade/orders。","1. source_type=OPERATOR。
2. 报表 /api/operator/report/orders 可按 sourceType 过滤到该笔。",,,测试设计,,
TC-TFLOW-003,【交易】卖出冻结股份与可卖减少,"预置条件：
1. 有足额可卖持仓。

操作步骤：
1. App 或柜台下卖单。","1. acct_position available 减少、frozen 增加。
2. 委托 frozen_qty 与持仓一致；流水或状态可核对。",,,测试设计,,
TC-TFLOW-004,【交易】用户端→报盘→受理状态链,"预置条件：
1. 本地或远程 mock-exchange。

操作步骤：
1. 下单后查 trd_order.order_status、dispatch_status 与 rpt_order_dispatch.dispatch_status。","1. 成功路径：INIT/SENT → REPORTED/ACCEPTED（与当前库字段语义一致）。
2. 与 ANDROID 文档状态机描述一致。",,,测试设计,,
TC-CFLOW-001,【撤单】未成交全额撤单释放冻结,"预置条件：
1. 已报未成交委托。

操作步骤：
1. 撤单成功。","1. 买单：冻结资金回可用；卖单：冻结数量回可用。
2. 委托终态为撤单相关状态；流水或变更可核对。",,,测试设计,,
TC-CFLOW-002,【撤单】部成后撤单仅释放未成交部分冻结,"预置条件：
1. 部成委托。

操作步骤：
1. 对剩余可撤量发起撤单。","1. 已成交部分不受影响。
2. 释放的冻结资金/数量仅对应未成交部分。",,,测试设计,,
TC-CFLOW-003,【撤单】重复/非法撤单请求被拒绝,"预置条件：
1. 已撤或不可撤状态。

操作步骤：
1. 再次撤单或并发撤单。","1. 幂等或明确拒绝文案。
2. 资产不发生二次错误释放。",,,测试设计,,
